target,chembl_target,molecule,name,role,moa,action,max_phase,pchembl,act_type,smiles,mw,qed
TEAD4,CHEMBL4295828,CHEMBL6147038,,potent_bioactivity,,,,8.8,Ki,COCCOc1ccc(C(N)=O)c(-c2c(Cl)ccc3c2C[C@@](CNCCC2CCN(c4ccc5c(c4)C(=O)N(C4CCC(=O)NC4=O)C5=O)CC2)(c2ccccc2)O3)c1F,838.33,0.11
TEAD4,CHEMBL4295828,CHEMBL5401444,,potent_bioactivity,,,,8.7,IC50,C=CC(=O)N1CC(c2nc(-c3ccc(OC(F)(F)F)cc3)c3ncn(C)c3n2)C1,403.36,0.63
TEAD4,CHEMBL4295828,CHEMBL5422959,,potent_bioactivity,,,,8.7,IC50,C=CC(=O)N1CC(c2nc(-c3ccc(OC(F)(F)F)cc3)c3ncsc3n2)C1,406.39,0.62
TEAD4,CHEMBL4295828,CHEMBL5400400,,potent_bioactivity,,,,8.7,IC50,Cn1cnc2c(-c3ccc(OC(F)(F)F)cc3)nc(C3CN(C(=O)C4=CCC4)C3)nc21,429.4,0.63
TEAD4,CHEMBL4295828,CHEMBL5408536,,potent_bioactivity,,,,8.7,IC50,C=C(Cl)C(=O)NCc1nn(-c2ccc(OC(F)(F)F)cc2)c2nccc(CO)c12,426.78,0.59
TEAD4,CHEMBL4295828,CHEMBL5403826,,potent_bioactivity,,,,8.7,IC50,C#CC(=O)NCc1nn(-c2ccc(OC(F)(F)F)cc2)c2nccc(CO)c12,390.32,0.65
TEAD4,CHEMBL4295828,CHEMBL5419829,,potent_bioactivity,,,,8.52,IC50,C=CS(=O)(=O)NCc1cc(-c2ccc(OC(F)(F)F)cc2)c2c(c1CO)CCO2,429.42,0.71
TEAD4,CHEMBL4295828,CHEMBL5416415,,potent_bioactivity,,,,8.52,IC50,C=CC(=O)NCc1cc(-c2ccc(OC(F)(F)F)cc2)c2ncn(C)c2c1C#CCO,429.4,0.48
RORC,CHEMBL1741186,CHEMBL3545357,JTE-151,known_mechanism,Nuclear receptor ROR-gamma antagonist,ANTAGONIST,1.0,,,,,
RORC,CHEMBL1741186,CHEMBL3109228,,potent_bioactivity,,,,8.52,IC50,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccccc3)c2)cc1,446.57,0.42
RORC,CHEMBL1741186,CHEMBL3109234,,potent_bioactivity,,,,8.4,IC50,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3cccc(C(F)(F)F)c3)c2)cc1,514.57,0.32
