gene,log2FC,mean_case,mean_ctrl,t,p,padj
S100A7A,8.11466103322923,8.61263794220322,0.4979769089739886,70.7478207399476,6.009239009753683e-129,8.932733787998849e-125
AKR1B10,5.188569412478117,6.184261085773028,0.9956916732949112,64.43488904893249,2.70492092155682e-121,2.010432474947106e-117
DEFB4A,10.56723703476101,11.13777731430271,0.570540279541699,61.30690614012655,9.287080593603194e-119,4.601748434130382e-115
LCE3A,7.548314325934708,8.404063001787183,0.8557486758524744,56.25813403903831,1.2306217966304754e-112,4.573298251728005e-109
PI3,9.405742944392419,12.095617272313158,2.689874327920739,59.261078787436176,1.6954261010502452e-110,5.040501798422379e-107
IL1F9,5.196414698374479,7.708985783191789,2.5125710848173095,55.03007855109683,6.391014172782068e-110,1.5833737613067575e-106
SERPINB4,8.314470579460608,10.181667352236877,1.8671967727762688,54.58710261262822,4.6473176669064944e-108,9.868911016937862e-105
GJB2,4.116901082958264,9.806915204270192,5.690014121311928,49.14539672844479,3.740408068487275e-103,6.950145742257917e-100
S100A12,5.831978088265097,6.122403600619402,0.29042551235430447,59.90210243921919,2.0116577675751826e-100,3.32258807944501e-97
SERPINB3,6.482058120970374,9.651696669436362,3.169638548465988,48.96406684818055,1.737080350954134e-99,2.5821699416933202e-96
SPRR2A,6.0008162701085945,12.341483053746797,6.340666783638203,51.45766131015867,2.1925802310502656e-96,2.9629731940511087e-93
SPRR2F,6.9517046908616615,9.72389422325765,2.7721895323959886,43.925039762218525,3.129589171693202e-95,3.876778586434954e-92
SPRR2D,5.494581199202687,11.84490180886225,6.350320609659563,46.75265094353799,6.447286603848517e-95,7.372224258939092e-92
CDK5R1,1.3607115562445682,2.28864475644598,0.927933200201412,44.91893555890597,3.842763322770176e-94,4.080191199498476e-91
FABP5,3.411445143208879,10.761751350773526,7.350306207564647,44.79146445248357,1.9918908241648798e-93,1.9739638067473957e-90
SPRR2B,5.564041892296427,11.825131051308324,6.261089159011896,47.046909979633185,1.169209312093951e-92,1.0862685265172863e-89
SPRR2C,5.420826040989654,8.331910240900667,2.911084199911013,43.18588267940627,2.3891053996393794e-92,2.089061868567022e-89
HPSE,2.7740856717914744,4.624105886133688,1.8500202143422138,44.88376238000934,2.7279126797044374e-92,2.2528012213225814e-89
PLA2G4D,4.068965810849704,6.520429660171718,2.4514638493220136,45.96970335730168,2.10481025436488e-91,1.646737075322839e-88
C10orf99,5.16105452636352,7.407037816662339,2.24598329029882,50.02223514679059,9.875643411776166e-91,7.340071965802636e-88
ANKRD33B,-2.1054397309958706,1.0203731506994649,3.125812881695335,-40.2950282298769,1.598536852362185e-89,1.1315357290649467e-86
ZC3H12A,3.3751243136790494,6.261459174056361,2.8863348603773114,39.62713173259846,1.7443134106124113e-87,1.1786008567615225e-84
KRT77,-3.6130308707523087,3.6571851455632087,7.270216016315517,-38.79493584716148,2.425128456494395e-86,1.567371065469095e-83
ADAP2,1.6984124242318268,4.300387718052246,2.601975293820419,38.669054828562274,7.014603173097693e-86,4.344669840337384e-83
DEFB103A,5.313076997183609,7.909041540069319,2.5959645428857105,38.188520851422936,8.323258962224363e-86,4.949009778938606e-83
TPBG,1.4663306429089125,4.286861643378389,2.8205310004694764,39.435603739489984,3.4337662251141293e-85,1.9631898052431358e-82
GJB6,2.716620681061646,7.61463846130074,4.898017780239094,37.767271287516316,3.83622960858065e-85,2.112057523390791e-82
DEFB103B,4.924116045814664,6.478656698500934,1.554540652686271,39.12613207357429,5.120805889924335e-84,2.7185992697759013e-81
RHCG,4.746222982853428,7.3955568458320995,2.6493338629786716,37.42283836162199,1.3609795845008346e-83,6.9761936288292775e-81
FUT3,2.0450234248557178,3.041091571027201,0.9960681461714832,36.84009159075409,1.7694620607630252e-83,8.76768451108079e-81
HEPHL1,4.731419531389721,5.39103716387327,0.6596176324835493,41.82997712436855,4.556975172840257e-83,2.1851430949764654e-80
TTC39A,2.114623538353115,4.196220401883807,2.0815968635306925,39.721049042069595,8.374439999174967e-83,3.8901890808667464e-80
PAPL,3.2980247051910068,5.613079834797996,2.3150551296069892,36.677606963224925,1.864727011815545e-82,8.399747585041842e-80
PRSS27,3.5188977274848905,5.255494322935611,1.7365965954507208,36.456148240595425,3.2639816020769136e-82,1.4270319563198034e-79
KRT6A,4.036986479476679,12.479535015572234,8.442548536095554,36.07615556909587,5.31934128408245e-82,2.2592002339395893e-79
COBL,-1.5263846479902474,2.447487693704546,3.9738723416947934,-37.33719214242125,5.670793665741717e-82,2.3415652178125172e-79
PLBD1,1.772124160800523,6.24611206128448,4.473987900483957,36.82868314750701,1.1615625104658488e-81,4.6666558697499576e-79
RORC,-2.146438866051599,1.337648360244669,3.484087226296268,-35.86399705066499,8.286831966753197e-81,3.241677820678586e-78
SPRR2E,4.092872825655425,12.384308338908498,8.291435513253074,39.10336400096318,1.7794622942361267e-79,6.782488975338468e-77
FAM110C,1.6232956683378665,3.74703125473865,2.1237355864007834,34.86202946897398,2.460605446838239e-79,9.144224991812605e-77
IL34,-2.5441779092274572,2.3971240538645118,4.941301963091969,-35.5667214761438,3.0578225385786105e-79,1.1086471228285622e-76
TREX2,3.0057065605185875,5.433068264045786,2.427361703527198,34.371250815933465,1.1710716006403594e-78,4.144756986552129e-76
CCNE1,1.6678494455669393,2.6810207616994264,1.0131713161324871,34.231868244701076,6.683134981897028e-78,2.310344221067426e-75
F3,-2.1917499096865165,2.3281694513374727,4.519919361023989,-33.765312705911576,8.401561194103978e-78,2.8383910715989916e-75
RRM2,2.066862856476834,3.659109890101231,1.592247033624397,33.798734105689206,1.4213795391696239e-77,4.695290411056991e-75
TYMP,3.1662540284931033,7.036391251684673,3.87013722319157,33.77991530413246,3.00446084158388e-77,9.70898052394443e-75
EDA,-0.9908349388770658,0.6733257789650468,1.6641607178421125,-33.48488456628852,3.804889400713056e-77,1.2033974668425443e-74
NOD2,1.4478119317565055,3.553004059032268,2.1051921272757625,33.49397680894416,4.403665204296526e-77,1.3637600679555804e-74
LCE3E,5.285412889070354,8.736376884127768,3.450963995057414,39.74366073501916,5.2389570420985855e-77,1.589328498587663e-74
KYNU,3.4625315487416284,4.451893949099318,0.9893624003576902,46.45707421842414,2.201208495394514e-76,6.5441928568078895e-74
TGM1,2.6092192977646453,7.366711650719469,4.757492352954824,33.51077162257225,5.547844815709863e-76,1.6170335918730806e-73
AKR1B15,2.887397509507826,3.1164213731658386,0.22902386365801225,49.570277447515814,6.705076396407522e-76,1.9167492429345735e-73
INPP5A,-1.0256452071710305,3.1585946192016428,4.184239826372673,-34.29537908896136,2.406036917339628e-75,6.748252599293126e-73
PHYHD1,-1.5869907258965015,1.987634297953927,3.5746250238504285,-33.29279572048107,2.5257229520067204e-75,6.8263403057418e-73
SERPINB13,2.6338934407269763,5.737379247122407,3.1034858063954305,34.03412509155911,2.4894036749508213e-75,6.8263403057418e-73
LCE3D,5.373288251494503,10.110000498404114,4.736712246909611,39.855988909673165,2.5947131843513836e-75,6.887573479532735e-73
CHAD,-1.7418578694236326,0.8501179787002803,2.591975848123913,-32.64504241806564,3.427105357568654e-75,8.937530024606674e-73
BTC,-2.9412342094856734,0.4064706682690395,3.3477048777547127,-43.70277908814767,1.313470015740313e-74,3.3663330662034056e-72
