gene,meta_log2FC,meta_SE,meta_p,I2,n_cohorts,meta_padj,n_concordant
SMAP2,0.3996249942471299,0.04377025734708091,0.0,70.4589729682445,5,0.0,5
SMARCA1,-0.7544858682936957,0.06103085879171316,0.0,75.2503344109499,5,0.0,5
ABCA8,-1.0356625729731617,0.11982394028497076,0.0,83.7955441757519,5,0.0,5
NINL,-0.4267307233933683,0.018897162791750945,0.0,0.0,5,0.0,5
NIP7,0.5843937749171179,0.0634372874353724,0.0,81.75274607865431,5,0.0,5
NIPA2,0.38604663371991854,0.042242765470275896,0.0,82.4513103564156,5,0.0,5
FAM117A,-1.1669822690107265,0.0880511681005588,0.0,87.62088538563853,5,0.0,5
GYS1,0.9069067396004159,0.10889816089964371,0.0,94.41398074837703,5,0.0,5
NLRX1,1.5038211605320408,0.17774060582456958,0.0,97.75860392387439,5,0.0,5
A2ML1,2.0950973297123263,0.2146963959141172,0.0,94.69918087378714,5,0.0,5
NME1,0.8694327257617759,0.07051989422783721,0.0,88.36991864183247,5,0.0,5
RILPL1,-0.5048056449750067,0.06000938042362217,0.0,84.28923128940498,5,0.0,5
ZWILCH,0.8235329120095031,0.0831877042535446,0.0,90.04137342834322,5,0.0,5
HAL,1.8990085245767838,0.20208227610186794,0.0,94.71367233566426,5,0.0,5
NKTR,-0.5489918401062267,0.05553366700361156,0.0,44.24100414468571,5,0.0,5
NMI,1.2011799774581806,0.0283783743200826,0.0,29.313985961047166,5,0.0,5
NOLC1,0.4296737006983707,0.028568923745701615,0.0,44.61262858988649,5,0.0,5
TMEM45B,1.9795150809235982,0.09914356667051691,0.0,87.5225512725806,5,0.0,5
TMEM47,-1.4093293665092455,0.14279122779058645,0.0,91.71209224164801,5,0.0,5
FBXL19,0.6542340638423206,0.07207708457423902,0.0,87.89799724051382,5,0.0,5
SLIT2,-1.0447557762278288,0.12398843855313622,0.0,85.02568140363749,5,0.0,5
IVL,1.6980149685701267,0.0721844135591,0.0,68.06762061001561,5,0.0,5
ABCE1,0.40996552505245115,0.024196674077764414,0.0,0.0,5,0.0,5
ABHD10,-0.49758612641504446,0.05744236393029178,0.0,89.69648001216089,5,0.0,5
ZNF84,-0.777163410978068,0.08410607080930506,0.0,92.07425185288383,5,0.0,5
TGM3,2.36307160621571,0.09181974213293757,0.0,60.342878335551205,5,0.0,5
IMPA2,0.5712903375686152,0.030963571326703212,0.0,48.173405399865736,5,0.0,5
PXK,-0.45457560083550447,0.03466173424379665,0.0,55.85003930608371,5,0.0,5
PYCARD,1.1841534754031902,0.10386338291070467,0.0,91.8340224391007,5,0.0,5
PYDC1,0.8481897748135505,0.04311020672154995,0.0,0.0,5,0.0,5
PYGL,0.96926051986505,0.1133823061461078,0.0,94.97545442123378,5,0.0,5
ACACB,-1.2641047689707927,0.14765553499655854,0.0,92.73369902401387,5,0.0,5
PSMC4,0.7331827549390239,0.0834035270318508,0.0,95.50164664945181,5,0.0,5
PSMD11,0.7071942174473479,0.05253015621544311,0.0,86.58867005776604,5,0.0,5
PSMD2,0.48176639620623896,0.05508757236480729,0.0,92.89770149871565,5,0.0,5
GZMA,1.4384592543155124,0.17153471027831152,0.0,93.31401749787351,5,0.0,5
NOC4L,0.40120733479588955,0.043867789178232405,0.0,60.76979665636733,5,0.0,5
NOD2,1.5334426835299508,0.1178284529680914,0.0,93.75727354634924,5,0.0,5
CHD6,-0.5653532439276238,0.06453914283068739,0.0,85.09429441114824,5,0.0,5
CHD8,-0.2562755326747211,0.02047544307217533,0.0,16.914599611217135,5,0.0,5
CHFR,0.45022190894059183,0.04927304982097686,0.0,85.31653900344578,5,0.0,5
CHI3L2,3.8206489425552697,0.15136081828493833,0.0,74.66946578526975,5,0.0,5
CHL1,-1.3235627068506781,0.12477814341397163,0.0,80.24173832605203,5,0.0,5
TMEM69,0.41929783081354977,0.04393678877628525,0.0,70.50853260719407,5,0.0,5
TMEM79,0.956571672377895,0.060223471731029446,0.0,85.0370501641195,5,0.0,5
TMEM86A,1.5980567961485828,0.1841023730328457,0.0,95.76024939911782,5,0.0,5
CHPT1,-1.1589779854839355,0.0850179340848891,0.0,85.07083146527066,5,0.0,5
LYNX1,1.3988250075196633,0.1650138128215703,0.0,92.82340900087631,5,0.0,5
