name,smiles,aryl,core,linker,warhead,MW,logP,QED,nRot,sim_parent
gen_OCF3-p_9Me-pu_azet_acryl,C=CC(=O)N1CC2CN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,azetidine,acrylamide,403.4,1.15,0.722,3,0.468
gen_OCF3-p_9Me-pu_azet_cyclo,Cn1cnc2c1=NCC1CN(C(=O)C3=CCC3)C1=NC=2c1ccc(OC(F)(F)F)cc1,OCF3-phenyl,9Me-purine,azetidine,cyclobutenylamide,429.4,1.69,0.746,3,0.487
gen_OCF3-p_9Me-pu_azet_fluor,C=C(F)C(=O)N1CC2CN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,azetidine,fluoroacrylamide,421.4,1.45,0.557,3,0.378
gen_OCF3-p_9Me-pu_azet_cyclo,Cn1cnc2c1=NCC1CN(C(=O)C3CC3)C1=NC=2c1ccc(OC(F)(F)F)cc1,OCF3-phenyl,9Me-purine,azetidine,cyclopropanecarbonyl,417.4,1.38,0.758,3,0.373
gen_OCF3-p_9Me-pu_pyrr_acryl,C=CC(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,pyrrolidine,acrylamide,417.4,1.54,0.712,3,0.469
gen_OCF3-p_9Me-pu_pyrr_cyclo,Cn1cnc2c1=NCC1CCN(C(=O)C3=CCC3)C1=NC=2c1ccc(OC(F)(F)F)cc1,OCF3-phenyl,9Me-purine,pyrrolidine,cyclobutenylamide,443.4,2.08,0.729,3,0.457
gen_OCF3-p_9Me-pu_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,pyrrolidine,fluoroacrylamide,435.4,1.84,0.546,3,0.384
gen_OCF3-p_9Me-pu_pyrr_acety,CC(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,pyrrolidine,acetyl,405.4,1.38,0.758,2,0.386
gen_OCF3-p_9Me-pu_pyrr_cyclo,Cn1cnc2c1=NCC1CCN(C(=O)C3CC3)C1=NC=2c1ccc(OC(F)(F)F)cc1,OCF3-phenyl,9Me-purine,pyrrolidine,cyclopropanecarbonyl,431.4,1.77,0.744,3,0.376
gen_OCF3-p_9Me-pu_pipe_acryl,C=CC(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,piperidine,acrylamide,431.4,1.93,0.698,3,0.463
gen_OCF3-p_9Me-pu_pipe_cyclo,Cn1cnc2c1=NCCC1CCN(C(=O)C3=CCC3)C1=NC=2c1ccc(OC(F)(F)F)cc1,OCF3-phenyl,9Me-purine,piperidine,cyclobutenylamide,457.5,2.47,0.711,3,0.446
gen_OCF3-p_9Me-pu_pipe_fluor,C=C(F)C(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,piperidine,fluoroacrylamide,449.4,2.23,0.533,3,0.379
gen_OCF3-p_9Me-pu_pipe_propi,C#CC(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,piperidine,propiolamide,429.4,1.38,0.678,2,0.364
gen_OCF3-p_9Me-pu_pipe_acety,CC(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,9Me-purine,piperidine,acetyl,419.4,1.77,0.745,2,0.381
gen_OCF3-p_9Me-pu_pipe_cyclo,Cn1cnc2c1=NCCC1CCN(C(=O)C3CC3)C1=NC=2c1ccc(OC(F)(F)F)cc1,OCF3-phenyl,9Me-purine,piperidine,cyclopropanecarbonyl,445.4,2.16,0.727,3,0.372
gen_OCF3-p_7-deaz_azet_acryl,C=CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,azetidine,acrylamide,388.3,1.75,0.814,3,0.4
