gene,log2FC,mean_case,mean_ctrl,t,p,padj,log2FC_GSE121212,replicated,log2FC_AD,axis,psoriasis_specificity
S100A7A,8.11466103322923,8.61263794220322,0.4979769089739886,70.7478207399476,6.009239009753683e-129,8.932733787998849e-125,9.020455755385814,True,5.642696526092096,inflammatory_up,2.471964507137135
AKR1B10,5.188569412478117,6.184261085773028,0.9956916732949112,64.43488904893249,2.70492092155682e-121,2.010432474947106e-117,5.397806197814904,True,3.722113728793934,inflammatory_up,1.4664556836841829
DEFB4A,10.56723703476101,11.13777731430271,0.570540279541699,61.30690614012655,9.287080593603194e-119,4.601748434130382e-115,7.584955205621082,True,2.8979165579550012,inflammatory_up,7.669320476806009
LCE3A,7.548314325934708,8.404063001787183,0.8557486758524744,56.25813403903831,1.2306217966304754e-112,4.573298251728005e-109,5.4822229510548075,True,4.461781198553954,inflammatory_up,3.086533127380754
PI3,9.405742944392419,12.095617272313158,2.689874327920739,59.261078787436176,1.6954261010502452e-110,5.040501798422379e-107,7.707967033808098,True,3.8846880646264736,inflammatory_up,5.521054879765945
SERPINB4,8.314470579460608,10.181667352236877,1.8671967727762688,54.58710261262822,4.6473176669064944e-108,9.868911016937862e-105,9.206546966927277,True,6.929613331571201,inflammatory_up,1.3848572478894061
GJB2,4.116901082958264,9.806915204270192,5.690014121311928,49.14539672844479,3.740408068487275e-103,6.950145742257917e-100,4.817858812174745,True,2.6302400339707743,inflammatory_up,1.4866610489874894
S100A12,5.831978088265097,6.122403600619402,0.29042551235430447,59.90210243921919,2.0116577675751826e-100,3.32258807944501e-97,4.503837511676865,True,1.4495378459446118,inflammatory_up,4.382440242320485
SERPINB3,6.482058120970374,9.651696669436362,3.169638548465988,48.96406684818055,1.737080350954134e-99,2.5821699416933202e-96,6.129466621059884,True,3.8550983028351142,inflammatory_up,2.6269598181352594
SPRR2A,6.0008162701085945,12.341483053746797,6.340666783638203,51.45766131015867,2.1925802310502656e-96,2.9629731940511087e-93,8.927721454863345,True,5.712814682604333,inflammatory_up,0.28800158750426164
SPRR2F,6.9517046908616615,9.72389422325765,2.7721895323959886,43.925039762218525,3.129589171693202e-95,3.876778586434954e-92,7.218061578469907,True,2.4902070208098617,inflammatory_up,4.4614976700518
SPRR2D,5.494581199202687,11.84490180886225,6.350320609659563,46.75265094353799,6.447286603848517e-95,7.372224258939092e-92,6.058859748682281,True,4.173018580272798,inflammatory_up,1.3215626189298897
CDK5R1,1.3607115562445682,2.28864475644598,0.927933200201412,44.91893555890597,3.842763322770176e-94,4.080191199498476e-91,1.565150802884952,True,0.9074974824818351,inflammatory_up,0.45321407376273304
FABP5,3.411445143208879,10.761751350773526,7.350306207564647,44.79146445248357,1.9918908241648798e-93,1.9739638067473957e-90,3.4135986185539577,True,1.362796885983217,inflammatory_up,2.048648257225662
SPRR2B,5.564041892296427,11.825131051308324,6.261089159011896,47.046909979633185,1.169209312093951e-92,1.0862685265172863e-89,7.456696448866352,True,5.616391317986937,inflammatory_up,-0.05234942569050993
SPRR2C,5.420826040989654,8.331910240900667,2.911084199911013,43.18588267940627,2.3891053996393794e-92,2.089061868567022e-89,3.299528500753578,True,,inflammatory_up,
HPSE,2.7740856717914744,4.624105886133688,1.8500202143422138,44.88376238000934,2.7279126797044374e-92,2.2528012213225814e-89,1.901650124537996,True,0.8209967433056482,inflammatory_up,1.9530889284858262
PLA2G4D,4.068965810849704,6.520429660171718,2.4514638493220136,45.96970335730168,2.10481025436488e-91,1.646737075322839e-88,3.766909846095775,True,1.2712104880721737,inflammatory_up,2.7977553227775305
C10orf99,5.16105452636352,7.407037816662339,2.24598329029882,50.02223514679059,9.875643411776166e-91,7.340071965802636e-88,4.596481304232189,True,3.3118610116041984,inflammatory_up,1.8491935147593215
ANKRD33B,-2.1054397309958706,1.0203731506994649,3.125812881695335,-40.2950282298769,1.598536852362185e-89,1.1315357290649467e-86,-3.3630469993095966,True,-0.6232074516016368,silenced_down,-1.4822322793942337
ZC3H12A,3.3751243136790494,6.261459174056361,2.8863348603773114,39.62713173259846,1.7443134106124113e-87,1.1786008567615225e-84,3.1370482945540603,True,1.4358130019654176,inflammatory_up,1.9393113117136318
KRT77,-3.6130308707523087,3.6571851455632087,7.270216016315517,-38.79493584716148,2.425128456494395e-86,1.567371065469095e-83,-5.082801974219296,True,-3.765491705722943,silenced_down,0.15246083497063445
ADAP2,1.6984124242318268,4.300387718052246,2.601975293820419,38.669054828562274,7.014603173097693e-86,4.344669840337384e-83,1.6994917390786162,True,0.9063562253597306,inflammatory_up,0.7920561988720962
TPBG,1.4663306429089125,4.286861643378389,2.8205310004694764,39.435603739489984,3.4337662251141293e-85,1.9631898052431358e-82,2.0307998746099303,True,1.4069792518416184,inflammatory_up,0.059351391067294035
GJB6,2.716620681061646,7.61463846130074,4.898017780239094,37.767271287516316,3.83622960858065e-85,2.112057523390791e-82,3.503818173137458,True,1.686721579518247,inflammatory_up,1.029899101543399
RHCG,4.746222982853428,7.3955568458320995,2.6493338629786716,37.42283836162199,1.3609795845008346e-83,6.9761936288292775e-81,6.154365916989246,True,2.055827942348969,inflammatory_up,2.6903950405044594
FUT3,2.0450234248557178,3.041091571027201,0.9960681461714832,36.84009159075409,1.7694620607630252e-83,8.76768451108079e-81,2.9495842817651265,True,1.733686369738773,inflammatory_up,0.31133705511694476
HEPHL1,4.731419531389721,5.39103716387327,0.6596176324835493,41.82997712436855,4.556975172840257e-83,2.1851430949764654e-80,6.817503916677714,True,4.938117188008888,inflammatory_up,-0.20669765661916628
TTC39A,2.114623538353115,4.196220401883807,2.0815968635306925,39.721049042069595,8.374439999174967e-83,3.8901890808667464e-80,1.8331789462455417,True,1.3857905144504556,inflammatory_up,0.7288330239026592
PAPL,3.2980247051910068,5.613079834797996,2.3150551296069892,36.677606963224925,1.864727011815545e-82,8.399747585041842e-80,3.1245906929696847,True,1.0962061870140092,inflammatory_up,2.2018185181769976
PRSS27,3.5188977274848905,5.255494322935611,1.7365965954507208,36.456148240595425,3.2639816020769136e-82,1.4270319563198034e-79,3.5373537622941855,True,2.10702307756444,inflammatory_up,1.4118746499204504
KRT6A,4.036986479476679,12.479535015572234,8.442548536095554,36.07615556909587,5.31934128408245e-82,2.2592002339395893e-79,5.4580144631767356,True,4.183431906959366,inflammatory_up,-0.14644542748268652
COBL,-1.5263846479902474,2.447487693704546,3.9738723416947934,-37.33719214242125,5.670793665741717e-82,2.3415652178125172e-79,-1.7001936586974695,True,-0.6851425812481686,silenced_down,-0.8412420667420788
PLBD1,1.772124160800523,6.24611206128448,4.473987900483957,36.82868314750701,1.1615625104658488e-81,4.6666558697499576e-79,2.0424902665454328,True,1.007113167792176,inflammatory_up,0.7650109930083469
RORC,-2.146438866051599,1.337648360244669,3.484087226296268,-35.86399705066499,8.286831966753197e-81,3.241677820678586e-78,-2.3448385889069674,True,-1.4582082329173298,silenced_down,-0.6882306331342694
SPRR2E,4.092872825655425,12.384308338908498,8.291435513253074,39.10336400096318,1.7794622942361267e-79,6.782488975338468e-77,4.2301505480219115,True,3.2289065857181294,inflammatory_up,0.8639662399372954
FAM110C,1.6232956683378665,3.74703125473865,2.1237355864007834,34.86202946897398,2.460605446838239e-79,9.144224991812605e-77,1.5543057835056384,True,0.9399196534985608,inflammatory_up,0.6833760148393058
IL34,-2.5441779092274572,2.3971240538645118,4.941301963091969,-35.5667214761438,3.0578225385786105e-79,1.1086471228285622e-76,-3.055669828109875,True,-1.5150722758854265,silenced_down,-1.0291056333420308
TREX2,3.0057065605185875,5.433068264045786,2.427361703527198,34.371250815933465,1.1710716006403594e-78,4.144756986552129e-76,2.7392003293904508,True,1.4507636128200665,inflammatory_up,1.554942947698521
CCNE1,1.6678494455669393,2.6810207616994264,1.0131713161324871,34.231868244701076,6.683134981897028e-78,2.310344221067426e-75,1.8024116770285907,True,0.8313502028327586,inflammatory_up,0.8364992427341806
F3,-2.1917499096865165,2.3281694513374727,4.519919361023989,-33.765312705911576,8.401561194103978e-78,2.8383910715989916e-75,-2.6248796496399027,True,-1.974034598845983,silenced_down,-0.21771531084053342
RRM2,2.066862856476834,3.659109890101231,1.592247033624397,33.798734105689206,1.4213795391696239e-77,4.695290411056991e-75,2.0093056098880915,True,1.366119255274051,inflammatory_up,0.7007436012027828
TYMP,3.1662540284931033,7.036391251684673,3.87013722319157,33.77991530413246,3.00446084158388e-77,9.70898052394443e-75,3.6416708818181247,True,2.6045799573136312,inflammatory_up,0.5616740711794721
NOD2,1.4478119317565055,3.553004059032268,2.1051921272757625,33.49397680894416,4.403665204296526e-77,1.3637600679555804e-74,1.5266166209504952,True,1.2647579895014838,inflammatory_up,0.1830539422550217
LCE3E,5.285412889070354,8.736376884127768,3.450963995057414,39.74366073501916,5.2389570420985855e-77,1.589328498587663e-74,5.601586884644025,True,4.7058010436216104,inflammatory_up,0.5796118454487438
KYNU,3.4625315487416284,4.451893949099318,0.9893624003576902,46.45707421842414,2.201208495394514e-76,6.5441928568078895e-74,4.461968572860419,True,1.365174316125339,inflammatory_up,2.0973572326162895
TGM1,2.6092192977646453,7.366711650719469,4.757492352954824,33.51077162257225,5.547844815709863e-76,1.6170335918730806e-73,2.112496806676126,True,0.928434538270813,inflammatory_up,1.6807847594938323
AKR1B15,2.887397509507826,3.1164213731658386,0.22902386365801225,49.570277447515814,6.705076396407522e-76,1.9167492429345735e-73,3.070706449157766,True,2.8097500619423927,inflammatory_up,0.0776474475654334
INPP5A,-1.0256452071710305,3.1585946192016428,4.184239826372673,-34.29537908896136,2.406036917339628e-75,6.748252599293126e-73,-1.1188543845643961,True,-0.5433786885003622,silenced_down,-0.4822665186706683
PHYHD1,-1.5869907258965015,1.987634297953927,3.5746250238504285,-33.29279572048107,2.5257229520067204e-75,6.8263403057418e-73,-1.667952272648118,True,-0.858989442477585,silenced_down,-0.7280012834189165
SERPINB13,2.6338934407269763,5.737379247122407,3.1034858063954305,34.03412509155911,2.4894036749508213e-75,6.8263403057418e-73,2.3852316952771835,True,1.629579478923148,inflammatory_up,1.0043139618038284
LCE3D,5.373288251494503,10.110000498404114,4.736712246909611,39.855988909673165,2.5947131843513836e-75,6.887573479532735e-73,5.8218734412770194,True,5.443531131477926,inflammatory_up,-0.07024287998342338
CHAD,-1.7418578694236326,0.8501179787002803,2.591975848123913,-32.64504241806564,3.427105357568654e-75,8.937530024606674e-73,-1.2026801879291256,True,-0.8776996324772902,silenced_down,-0.8641582369463424
BTC,-2.9412342094856734,0.4064706682690395,3.3477048777547127,-43.70277908814767,1.313470015740313e-74,3.3663330662034056e-72,-4.705322574469271,True,-3.9960256685690614,silenced_down,1.054791459083388
GDPD3,2.1482463919937027,5.397660474048989,3.249414082055286,32.45444144056949,1.475786451288573e-74,3.718231457356718e-72,2.178859979522659,True,0.9234874387641296,inflammatory_up,1.224758953229573
GJB4,-3.1576236116836283,1.2475745068464246,4.405198118530053,-33.9249415895079,1.5065205722449125e-74,3.7324047177367707e-72,-3.2451937657672643,True,-1.721397844328918,silenced_down,-1.4362257673547103
OASL,3.5841754287954632,4.589955328959645,1.0057799001641818,34.79460644832503,1.6483255848502226e-74,4.0167802981636984e-72,4.036911257403604,True,2.5212735794799377,inflammatory_up,1.0629018493155256
CLDN1,-1.8200765810792268,5.479126921297676,7.299203502376903,-32.00684018593339,5.546923722193846e-74,1.3088098592128812e-71,-2.1877069430756073,True,-1.117380621135915,silenced_down,-0.7026959599433118
MPZL2,2.1259346081178006,5.678312555768911,3.5523779476511104,31.681580665881448,1.0677313980214921e-73,2.4418195740906893e-71,2.2511278559456898,True,1.4857409802536754,inflammatory_up,0.6401936278641251
IFI27,3.552182518008186,9.2500386947807,5.697856176772515,31.722401038221047,1.7763541621414613e-73,4.0008340333686095e-71,5.348154610525489,True,4.267922622714092,inflammatory_up,-0.7157401047059064
KPNA2,1.5162996265403974,5.330186664116022,3.8138870375756246,31.570417889894543,2.2385952649257976e-73,4.966674419868952e-71,1.7608981418122216,True,1.3523371509656306,inflammatory_up,0.16396247557476684
BCAR3,-1.578308586160463,1.4576846488769655,3.0359932350374286,-31.38547545838322,5.76742282617653e-73,1.2607755928105016e-70,-2.45192060973894,True,-1.4372574739854524,silenced_down,-0.14105111217501065
INA,1.4999043462363126,2.0200583631668905,0.5201540169305778,31.971581042499245,7.249959487351536e-73,1.561893446079429e-70,2.1434759498852634,True,1.645739540192283,inflammatory_up,-0.14583519395597033
GM2A,1.663449557172549,6.786195554476298,5.122745997303749,34.34677811854288,1.2084750631692578e-72,2.5662831162872883e-70,1.6310478303535643,True,0.432085750275645,inflammatory_up,1.231363806896904
ARNTL2,1.8286864997300256,4.304936245203353,2.4762497454733277,32.16635936569952,1.8892464353293967e-72,3.9554434170664054e-70,1.5262826370709073,True,1.3090107027182976,inflammatory_up,0.5196757970117281
PDZK1IP1,2.1368724688807585,7.902320593992677,5.765448125111918,31.006579679420312,3.1856289930155833e-72,6.576996525163424e-70,1.9140517136246924,True,1.029250431991179,inflammatory_up,1.1076220368895795
S100A9,8.914321101645678,13.84268526386067,4.928364162214992,50.23464497985008,3.54966536988221e-72,7.03543676310654e-70,8.836172413670429,True,6.326190930420938,inflammatory_up,2.5881301712247398
CRABP2,1.9902603913187624,9.347326790752865,7.357066399434102,31.98962241215679,4.999762810921681e-72,9.779141340046156e-70,2.6749571920156185,True,0.6541822385852161,inflammatory_up,1.3360781527335464
TMEM45B,1.7921676165555462,5.5683677335572535,3.776200117001707,32.748182266669524,8.680867153188877e-72,1.6758583147032814e-69,2.1352066948658948,True,1.6361013342687523,inflammatory_up,0.15606628228679398
S100A8,8.384484076232791,13.989442623158505,5.604958546925713,48.26102085981607,1.8267986009004927e-71,3.481456564408439e-69,8.785538359408925,True,6.18047398725071,inflammatory_up,2.2040100889820815
CRY2,-1.6147295946387907,2.678759599202976,4.293489193841767,-30.70962823649361,2.2884944631358008e-71,4.25230877431421e-69,-1.6755819154826836,True,-0.8295224114084014,silenced_down,-0.7852071832303893
SLC7A1,1.3452267877775617,5.414928006593175,4.069701218815613,33.843741183695776,2.6736457760622306e-71,4.906635118662353e-69,0.8864140514142935,True,0.26615564463367747,inflammatory_up,1.0790711431438842
SPRR2G,4.814703389927478,11.634973916506414,6.820270526578937,36.24648566874529,2.8521971688343512e-71,5.170476940819833e-69,5.403722500848044,True,5.074302230773261,inflammatory_up,-0.25959884084578366
RDH16,1.6920870843750568,2.9520219747691563,1.2599348903940994,30.80501049659227,3.188376412530878e-71,5.710266912321867e-69,2.0095502606287194,True,0.9593753446878079,inflammatory_up,0.7327117396872489
SNTB1,-1.6948735445213696,1.3770688081167064,3.071942352638076,-34.48162731851185,4.282274668771474e-71,7.578096779915233e-69,-3.303380138142322,True,-2.3223934503083608,silenced_down,0.6275199057869911
CCNB1,1.765971262784554,4.13972562414406,2.3737543613595062,30.391081700755603,4.652689438450474e-71,8.136732765007799e-69,1.8999084856742083,True,1.0826909298741452,inflammatory_up,0.6832803329104089
PLA2G4E,2.147147437654501,5.999502214733977,3.852354777079476,31.23396124088375,5.593203207304448e-71,9.667786706579142e-69,1.839194183263655,True,1.1126503295795134,inflammatory_up,1.0344971080749876
IRAK2,1.3159759563374378,2.483588452370235,1.1676124960327974,32.375065743092925,6.7741447585414746e-71,1.1574443889163105e-68,1.860207673216678,True,1.044490406709031,inflammatory_up,0.27148554962840676
SLC5A1,1.714335395909056,4.826944548700621,3.112609152791565,32.09688291848349,8.950987875558648e-71,1.5120049405702193e-68,1.5414548502202106,True,0.7981029926358039,inflammatory_up,0.9162324032732521
