seed,partner,mi_score
TEAD4,YAP1,0.93
TEAD4,WWTR1,0.92
TEAD4,VGLL4,0.76
TEAD4,CEP55,0.74
TEAD4,TRIM27,0.72
TEAD4,TRAF1,0.72
TEAD4,KRT40,0.72
TEAD4,GOLGA2,0.72
TEAD4,MTUS2,0.72
TEAD4,VTA1,0.67
TEAD4,TEAD2,0.64
TEAD4,CCNDBP1,0.56
TEAD4,CCDC172,0.56
TEAD4,KIAA0753,0.56
TEAD4,VPS52,0.56
TEAD4,PNMA1,0.56
TEAD4,CEP70,0.56
TEAD4,LZTS2,0.56
TEAD4,RABGEF1,0.56
TEAD4,SSX2IP,0.56
TEAD4,ccsb orf id: 12191,0.56
TEAD4,HOMEZ,0.56
TEAD4,RUNDC3A,0.56
TEAD4,MDFI,0.56
TEAD4,ccsb orf id: 56711,0.56
TEAD4,CDR2,0.56
TEAD4,DYDC1,0.56
TEAD4,CCDC125,0.56
TEAD4,GOLGA6L9,0.56
TEAD4,KRT27,0.56
TEAD4,SAT1,0.56
TEAD4,PRKAR1B,0.56
TEAD4,LDOC1,0.56
TEAD4,TRIM54,0.56
TEAD4,ccsb orf id: 54692,0.56
TEAD4,RUNX1,0.56
TEAD4,ccsb orf id: 55406,0.56
TEAD4,TLE5,0.56
TEAD4,SORBS3,0.56
TEAD4,VGLL3,0.56
TEAD4,KRT31,0.56
TEAD4,VGLL1,0.56
TEAD4,RASSF10,0.56
TEAD4,SESTD1,0.56
TEAD4,INCA1,0.56
TEAD4,HAUS1,0.56
TEAD4,PRDM14,0.56
GATA3,MTA1,0.94
GATA3,HDAC1,0.94
GATA3,HDAC2,0.89
GATA3,MTA3,0.88
GATA3,EHMT2,0.84
GATA3,PLOD3,0.83
GATA3,RBBP7,0.79
GATA3,WIZ,0.73
GATA3,EHMT1,0.73
GATA3,MBD3,0.69
GATA3,MTA2,0.68
GATA3,CHD4,0.64
GATA3,ZEB2,0.64
GATA3,ESR1,0.62
GATA3,GCM1,0.61
GATA3,TBX21,0.58
GATA3,PSMA3,0.56
GATA3,ACTN2,0.56
GATA3,LCK,0.56
GATA3,CYSRT1,0.56
GATA3,PLEKHG4,0.56
GATA3,KRTAP6-3,0.56
