name,smiles,vina,aryl,core,linker,warhead,MW,QED,sim_parent
gen_OCF3-p_7-deaz_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-7.752,OCF3-phenyl,7-deazapurine,pyrrolidine,cyclobutenylamide,428.4,0.817,0.376
gen_biphen_7-deaz_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.662,biphenyl,7-deazapurine,pyrrolidine,cyclobutenylamide,420.5,0.693,0.233
gen_pyridy_7-deaz_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.61,pyridyl-CF3,7-deazapurine,azetidine,cyclobutenylamide,399.4,0.836,0.258
"gen_Cl,F-p_7-deaz_pyrr_cyclo",O=C(C1=CCC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.509,"Cl,F-phenyl",7-deazapurine,pyrrolidine,cyclobutenylamide,396.9,0.833,0.232
gen_pyridy_7-deaz_azet_cyclo,O=C(C1CC1)N1CC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.485,pyridyl-CF3,7-deazapurine,azetidine,cyclopropanecarbonyl,387.4,0.848,0.177
gen_SF5-ph_thieno_pipe_acryl,C=CC(=O)N1CCC2CCN=c3sccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.456,SF5-phenyl,thienopyrimidine,piperidine,acrylamide,475.5,0.454,0.247
gen_pyridy_7-deaz_azet_fluor,C=C(F)C(=O)N1CC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.44,pyridyl-CF3,7-deazapurine,azetidine,fluoroacrylamide,391.3,0.623,0.188
gen_pyridy_7-deaz_azet_acryl,C=CC(=O)N1CC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.436,pyridyl-CF3,7-deazapurine,azetidine,acrylamide,373.3,0.805,0.253
"gen_Cl,F-p_7-deaz_azet_cyclo",O=C(C1CC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.413,"Cl,F-phenyl",7-deazapurine,azetidine,cyclopropanecarbonyl,370.8,0.861,0.168
"gen_Cl,F-p_7-deaz_azet_cyclo",O=C(C1=CCC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.409,"Cl,F-phenyl",7-deazapurine,azetidine,cyclobutenylamide,382.8,0.85,0.25
gen_SF5-ph_7-deaz_azet_propi,C#CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.393,SF5-phenyl,7-deazapurine,azetidine,propiolamide,428.4,0.58,0.172
gen_biphen_7-deaz_azet_propi,C#CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.352,biphenyl,7-deazapurine,azetidine,propiolamide,378.4,0.681,0.165
gen_biphen_7-deaz_azet_cyclo,O=C(C1CC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.349,biphenyl,7-deazapurine,azetidine,cyclopropanecarbonyl,394.5,0.73,0.167
gen_pyridy_7-deaz_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.335,pyridyl-CF3,7-deazapurine,pyrrolidine,cyclobutenylamide,413.4,0.82,0.24
gen_biphen_7-deaz_pyrr_acryl,C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.318,biphenyl,7-deazapurine,pyrrolidine,acrylamide,394.5,0.683,0.244
gen_SF5-ph_7-deaz_pyrr_propi,C#CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.315,SF5-phenyl,7-deazapurine,pyrrolidine,propiolamide,442.4,0.563,0.173
gen_SF5-ph_7-deaz_azet_fluor,C=C(F)C(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.304,SF5-phenyl,7-deazapurine,azetidine,fluoroacrylamide,448.4,0.564,0.185
gen_pyridy_7-deaz_pyrr_propi,C#CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.294,pyridyl-CF3,7-deazapurine,pyrrolidine,propiolamide,385.3,0.747,0.176
"gen_Cl,F-p_7-deaz_azet_propi",C#CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.269,"Cl,F-phenyl",7-deazapurine,azetidine,propiolamide,354.8,0.766,0.167
gen_SF5-ph_7-deaz_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.264,SF5-phenyl,7-deazapurine,pyrrolidine,cyclobutenylamide,470.5,0.663,0.239
gen_CF3-ph_7-deaz_pyrr_acryl,C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.259,CF3-phenyl,7-deazapurine,pyrrolidine,acrylamide,386.4,0.791,0.278
gen_CF3-ph_7-deaz_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.256,CF3-phenyl,7-deazapurine,azetidine,cyclobutenylamide,398.4,0.83,0.287
gen_biphen_9Me-pu_pyrr_propi,C#CC(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.248,biphenyl,9Me-purine,pyrrolidine,propiolamide,407.5,0.608,0.239
gen_pyridy_thieno_azet_cyclo,O=C(C1CC1)N1CC2CN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.248,pyridyl-CF3,thienopyrimidine,azetidine,cyclopropanecarbonyl,404.4,0.771,0.189
gen_biphen_7-deaz_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.246,biphenyl,7-deazapurine,pyrrolidine,cyclopropanecarbonyl,408.5,0.711,0.17
gen_biphen_thieno_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.227,biphenyl,thienopyrimidine,pyrrolidine,cyclobutenylamide,437.6,0.607,0.233
gen_SF5-ph_7-deaz_pyrr_acety,CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.215,SF5-phenyl,7-deazapurine,pyrrolidine,acetyl,432.4,0.723,0.191
"gen_Cl,F-p_7-deaz_pipe_cyclo",O=C(C1=CCC1)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.21,"Cl,F-phenyl",7-deazapurine,piperidine,cyclobutenylamide,410.9,0.813,0.227
gen_OCF3-p_thieno_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-7.209,OCF3-phenyl,thienopyrimidine,pyrrolidine,cyclobutenylamide,445.5,0.727,0.376
gen_biphen_7-deaz_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.208,biphenyl,7-deazapurine,pyrrolidine,fluoroacrylamide,412.5,0.66,0.189
"gen_Cl,F-p_7-deaz_azet_fluor",C=C(F)C(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.172,"Cl,F-phenyl",7-deazapurine,azetidine,fluoroacrylamide,374.8,0.802,0.179
gen_biphen_7-deaz_azet_acryl,C=CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.171,biphenyl,7-deazapurine,azetidine,acrylamide,380.5,0.698,0.247
gen_pyridy_thieno_azet_acety,CC(=O)N1CC2CN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.166,pyridyl-CF3,thienopyrimidine,azetidine,acetyl,378.4,0.76,0.194
gen_pyridy_7-deaz_azet_acety,CC(=O)N1CC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.16,pyridyl-CF3,7-deazapurine,azetidine,acetyl,361.3,0.826,0.189
gen_pyridy_thieno_pipe_cyclo,O=C(C1=CCC1)N1CCC2CCN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.158,pyridyl-CF3,thienopyrimidine,piperidine,cyclobutenylamide,444.5,0.714,0.235
gen_CF3-ph_7-deaz_pipe_propi,C#CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.158,CF3-phenyl,7-deazapurine,piperidine,propiolamide,398.4,0.735,0.196
gen_SF5-ph_7-deaz_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.151,SF5-phenyl,7-deazapurine,pyrrolidine,cyclopropanecarbonyl,458.5,0.692,0.177
gen_OCF3-p_thieno_azet_cyclo,O=C(C1CC1)N1CC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-7.148,OCF3-phenyl,thienopyrimidine,azetidine,cyclopropanecarbonyl,419.4,0.768,0.321
gen_SF5-ph_7-deaz_pipe_acety,CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.127,SF5-phenyl,7-deazapurine,piperidine,acetyl,446.4,0.694,0.189
gen_pyridy_7-deaz_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.106,pyridyl-CF3,7-deazapurine,pyrrolidine,fluoroacrylamide,405.4,0.613,0.188
gen_SF5-ph_9Me-pu_pyrr_cyclo,Cn1cnc2c1=NCC1CCN(C(=O)C3=CCC3)C1=NC=2c1ccc(S(F)(F)(F)(F)F)cc1,-7.106,SF5-phenyl,9Me-purine,pyrrolidine,cyclobutenylamide,485.5,0.621,0.318
"gen_Cl,F-p_7-deaz_azet_acety",CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.105,"Cl,F-phenyl",7-deazapurine,azetidine,acetyl,344.8,0.836,0.181
gen_biphen_7-deaz_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.061,biphenyl,7-deazapurine,azetidine,cyclobutenylamide,406.5,0.714,0.253
gen_CF3-ph_9Me-pu_pyrr_propi,C#CC(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.055,CF3-phenyl,9Me-purine,pyrrolidine,propiolamide,399.4,0.675,0.272
gen_pyridy_7-deaz_pyrr_acryl,C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.054,pyridyl-CF3,7-deazapurine,pyrrolidine,acrylamide,387.4,0.796,0.25
