disease,key,category,n_diff_TFs,n_hippo,diff_mean_assoc,hippo_mean_assoc,combined,GATA3,GATA6,FOXC1,FOXA1,IRX1,TBX3,TBX15,HOXA10,SIX1,WNT2,TEAD1,TEAD2,TEAD3,TEAD4,YAP1,WWTR1
breast cancer,breast_cancer,carcinoma,3,2,0.736,0.548,1.283,0.739,0,0.0,0.717,0.0,0.752,0,0,0.0,0.0,0,0,0.0,0,0.545,0.55
digestive system cancer,kidney_cancer,carcinoma,2,2,0.644,0.614,1.258,0.0,0,0.0,0.0,0.0,0.699,0,0,0.588,0.0,0,0,0.0,0,0.623,0.605
prostate cancer,prostate_cancer,carcinoma,3,2,0.578,0.427,1.005,0.0,0,0.0,0.728,0.0,0.518,0,0,0.486,0.0,0,0,0.0,0,0.406,0.449
colorectal cancer,colorectal_cancer,carcinoma,4,2,0.521,0.425,0.946,0.492,0,0.0,0.453,0.0,0.616,0,0,0.522,0.0,0,0,0.0,0,0.426,0.424
melanoma,melanoma,other-solid,3,2,0.481,0.432,0.913,0.437,0,0.0,0.418,0.0,0.588,0,0,0.0,0.0,0,0,0.0,0,0.44,0.424
ovarian cancer,ovarian_cancer,carcinoma,3,2,0.403,0.459,0.862,0.393,0,0.0,0.0,0.0,0.392,0,0,0.422,0.0,0,0,0.0,0,0.468,0.45
rheumatoid arthritis,rheumatoid_arthritis,autoimmune,1,1,0.525,0.301,0.826,0.525,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.301,0,0.0,0.0
non-small cell lung carcinoma,lung_cancer,carcinoma,3,1,0.405,0.397,0.801,0.407,0,0.0,0.395,0.0,0.411,0,0,0.0,0.0,0,0,0.0,0,0.397,0.0
glioblastoma,glioma,neuro-tumor,4,2,0.308,0.352,0.66,0.293,0,0.0,0.329,0.0,0.324,0,0,0.287,0.0,0,0,0.0,0,0.352,0.352
plasma cell myeloma,multiple_myeloma,hematologic,2,2,0.279,0.337,0.617,0.278,0,0.0,0.28,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.385,0.29
